Desa/Kelurahan,Kecamatan,Kabupaten,Provinsi,Program PPM,Sektor,Lokasi,Latitude,Longitude
Kelurahan Lebuay Bandung,Merapi Timur,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/Y9ugXT8FKjegJ6FY9,-3.8799699,103.9852659
Desa Muara Lawai,Merapi Timur,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/BCqVLdki1SennDSn8,-3.6718995,103.7599025
Desa Banjarsari,Merapi Timur,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/wvRE8tUJ8zstnv4r7,-3.6916155,103.7128544
Desa Prabumenang,Merapi Timur,Lahat,Sumatera Selatan,Co-Elevation Prabumenang - Industri Pembuatan Tempe & Olahan Tempe.,Industri,https://maps.app.goo.gl/NLJQdSBJFZX88Swi6,-3.7090935,103.705388
Desa Gunung Kembang,Merapi Timur,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/au4L4USNcGfd4DyM8,-3.695906,103.651687
Desa Sirah Pulau,Merapi Timur,Lahat,Sumatera Selatan,Persiapan Program Ayam Petelur Berdaya.,Peternakan,https://maps.app.goo.gl/wcgSiC9JbZjk1iCd9,-3.7429491,103.7168509
Desa Tanjung Jambu,Merapi Timur,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/wcgSiC9JbZjk1iCd9,-3.7429491,103.7168509
Desa Merapi,Merapi Barat,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/wcgSiC9JbZjk1iCd9,-3.7429491,103.7168509
,,,,,,,,
,8,2,1,23,5,,,
,,,,,8,Perkebunan,,
,,,,,4,Peternakan,,
,,,,,3,Industri,,
,,,,,3,Perikanan,,
,,,,,5,Insfrastruktur,,
