Bulan,Tahun,Program,Realisasi,Rencana kerja
Jan,2026,PILOT PROJECT KALIUM HUMAT,"Dilakukannya pengukuran pertumbuhan batang padi 45 HST pada tanggal 12 Januari (tinggi rata-rata batang padi 100 cm) 
Dilakukannya pengukuran pertumbuhan batang padi 60 HST pada tanggal 26 Januari (Tinggi rata-rata 112 cm)
Peninjauan ","Akan dilakukannya pengukuran kembali di tanggal 9 dan tanggal 23 Februari
"
Jan,2026,BA-MAXI,"Koordinasi & Perencanaan timeline program dengan Unit PTBA untuk wilayah penanaman: Lampung, Sumatera Selatan, dan Sumatera Barat.",Seleksi penyedia jasa penanaman mangrove
Jan,2026,REVITALISASI TAMAN KEHATI BEDEGUNG,Perbaikan gapura Taman Kehati dari Pertamina EP Limau,Follow up PKS yang masih tahap evaluasi dari DLH Kab. Muara Enim
Jan,2026,PENGEMBANGAN DESA SIRAH PULAU,Rapat negosiasi Sustainability & Public Relations PTBA dengan Kades Sirahpulau dan FP2M Kabupaten Lahat mengenai sistem pelaksanaan Program Golden Egg Sirahpulau.,"Koordinasi dengan Pemerintah Kabupaten Lahat untuk strategi pelaksanaan program.
Pencarian penyedia jasa pembangunan kandang & pengelolaan program."
Feb,2026,PLTS IRIGASI,"Survey lokasi rencana pembanguan PLTS di Desa Tanjung Lalang bersama Camat Tanjung Agung dan Perangkat Desa Tanjung Lalang
Pengecekan dan pengujian kembali jalur pipa PLTS nanjungan",Pelatihan operator PLTS Muara Gula Baru (setelah BAST selesai di TTD Kodim)
Feb,2026,BUDIDAYA MAGGOT,"Sebanyak 7 Orang Eks. PETI Yang tergabung di Kelompok budidaya maggot Kumata Desa Tanjung Agung;
Pemanfaatan sampah Organik pada Februari 2026 ini sebanyak 1.335 Kg yang didapat di Limbah Rumah Tangga, Limbah Rumah Makan/Bakso dan Limbah Pasar Kamis Desa Tanjung Agung","Penjajakan Kerjasama dengan pengusaha ikan lele di Desa Tanjung Karangan
Penguatan sektor hilir maggot : Kasgot(kompos) dan POC (Pupuk Organk Cair)"
Feb,2026,BUDIDAYA IKAN AIR TAWAR,"Sebanyak 9 Orang Eks. PETI dan Karang Taruna yang tergabung di Kelompok Budidaya Ikan Putra Susukan Binaan PTBA;
Adanya pengaplikasian Maggot Sebanyak 20 Kg di kolam Kelompok Budidaya Ikan Putra Susukan;
Bantuan indukan ikan mas sebanyak 100 Kg ke Kelompok Budididaya ikan putra susukan ","Dilakukan pegembangan usaha pemancingan di lokasi Kolam Binaan Kelompok Putra Susukan Desa Tanjung Agung (Pembangunan Naungan Rangka Baja Volumen 20 M2 )
Optimasi pakan maggot kering "
Feb,2026,SIBA PEMBIBITAN,"Pembaharuan struktur anggota kelompok SIBA Pembibitan, saat ini jumlah anggota kelompok sebanyak 9 orang berasal dari masyarakat ex-PETI dan MBR
Adanya kunjungan dari siswa SMK Bukit Asam untuk belajar reklamasi pasca tambang (menginap 1 malam)
Telah terbit NPWP dan Rekening Kelompok SIBA Pembibitan untuk menunjang pemasaran dan tertib administrasi","Follow up PKS dengan FMWR PTBA
Pemasaran Inovasi Tabulampot (Tanaman Buah Dalam Pot)
R&D pupuk booster Tabulampot"
Feb,2026,BUDIDAYA PUYUH SELEMAN,"Sebanyak 5 Orang Eks. PETI tergabung di Kelompok Budidaya Burung Puyuh Bangsal Pematang Binaan PTBA;
Burung puyuh yang produktif sebanyak 2.000 Ekor;
Telah melakukan penjualan telur puyuh dipasar sekitar terdiri dari pasar Tanjung Enim dengan 2 agen tetap dan Pasar Kalangan desa Seleman Setiap hari jumat dan agen Baturaja.","Perbaikan Tempat Penampungan Kohe Puyuh untuk selanjutnya dikeringkan dan di kemas menjadi pupuk organic;
Pelatihan management dan tata Kelola kelompok.
Bantuan kipas / blower untuk kandang guna mengurangi bau/amonia pada kandang"
Feb,2026,BUDIDAYA PUYUH PETELUR DARMO,"Sebanyak 14 Orang Eks. PETI tergabung di Kelompok Peternakan Burung Puyuh Simpang Karso Desa Darmo 
Jumlah indukan puyuh saat ini sebanyak 14.788 Ekor;
Telah dilakukan penjualan di pasar Tanjung Enim, Muara Enim dan Kab.Lahat, Kab. OKU dan Kab. OKU Timur ","Adanya rencana penjajakan Kerjasama (PKS) dengan Agen telur Puyuh Belitang OKU Timur dan Pasar Palembang;
Diskusi lanjutan terkait akses menuju kelompok PPSKD Desa Darmo (COR Jalan)
Penguatan Energzing Akhlak untuk seluruh binaan Program
Pelatihan pengolahaan tanaman sayuran dan tanaman semangka pemanfaatan KOHE Puyuh"
Feb,2026,ECOGROW MOM KWT UTUN MAKMUR,"Sebanyak 21 Orang Eks. Pekerja PETI, Ibu RT dan MBR Yang tergabung di Kelompok Wanita Tani Utun Makmur Desa Tanjung Karangan; 
Adanya perkembangan bibit di lahan KWT Berupa Bibit Terong 465 Batang, bibit cabe, 895 batang dan bibit tomat 261 batang dengan pertumbuhan sangat baik;
Kegiatan gotong royong telah dilaksanakan pada bulan ini sebanyak 4X, dimana kegiatan dilakukan setiap hari jumat sore.
penjualan hasil tanaman terong dan tomat dengan hasil penjualan Rp.566.500,-","Adanya rencana Kerjasama dengan pengelolah mini zoo terkait supply pakan ternak di area mini zoo Tanjung Enim;
Adanya pelatihan dasar terkait pembibitan, pengenalan hama tanaman dan cara mengatasinya melibatkan Narasumber Internal dan Eksternal"
Feb,2026,POKTAN CAHAYA TANI,"Sebanyak 9 Orang Eks. Pekerja PETI Yang tergabung di Kelompok Pembibitan Cahaya Tani Desa Darmo;
Adanya pengadaan bibit sawit sebanyak 3000 Batang yang dilakukan oleh kelompok cahaya tani desa darmo sebagai Langkah awal untuk mengisi bedengan (Swadaya);
Adanya penyemaian bibit cabe sebanyak 108 Polibag dan Terong 343 Polibag dengan usia bibit 21 hari;
Pada Tanggal 1 Februari 2026, Adanya kegiatan penjulan bibit manga 75 Batang, sawo 75 batang, Nangka 75 batang, dan rambutan 75 batang sehingga total penjualan 14.800.000,- (Permintaan sustainability PTBA)","Melanjutkan Pekerjaan Pembangunan Toilet Umum.
Mendaftkarkan legalitas berupa Akta Notaris
Akan dilakukan penanaman tanaman labu kuning"
Feb,2026,BUDIDAYA ITIK PETELUR,"Telah selesai perbaikan kandang dan penambahan bak kontrol air limpasan
Telah di distribusikan bibit itik petelur sebanyak 500 ekor
Pengadaan pakan starter
Pelatihan pengelolaan budidaya itik petelur ","Pelatihan pembuatan pakan omega mandiri
Penambahan rabat keliling kandang
Pemberian vitamin/vaksin"
Feb,2026,SUSCOMDEV LINGKAR TAMBANG,"Instalasi sistem hidroponik di 3 green house melon progres 80% (Dutch Bucket, Drip Tape, Sponge)
Monitoring dengan TEMS GM, SFCP
Pelatihan penyemaian melon hidroponik kolaborasi dengan Bpk Zailani (Local Hero SIBA Pembibitan Desa Tanjung Karangan)
Penyemaian 1.280 bibit melon
Pembagian seragam (kaos) Kelompok Tani Modern (Desa Lingga)","Melanjutkan pekerjaan Paving Block, Urugan, Kansteen, dan Exhaust Fan
Pemasangan Digitalisasi Kebun Melon dari PT Habibi Digital Nusantara (Habibi Farm)
Pendampingan & supervisi dari Tim Habibi Farm untuk 1 Periode Panen (4 Bulan)"
Feb,2026,SUSCOMDEV PRABUMENANG,"Pembangunan kolam berjumlah 40 kolam sudah terbangun 95% 
Adanya tambahan pekerjaan pengurasan sumur dan Pekerjaan pemasangan Paving block di lokasi (100%)
Monitoring dengan TEMS GM dan SFCP.
 Instalasi Jaringan Listrik","Pemasangan KWH Kolam kelompok (Pekerjaan tambahan)
Bantuan Bibit Ikan -+ 15.000 Ekor beserta pakan starter."
Feb,2026,BUDIDAYA RAS SYSTEM,"Total Penjualan Tempe 2 Kelompok s.d. bulan Februari 2026 = 45 kg, dengan omzet Rp675.000.
Total Penjualan Olahan Tempe 2 Kelompok s.d. bulan Februari 2026 = 35 kg, dengan omzet Rp4.200.000.
Total omzet s.d. bulan Februari 2026 Rp4.875.000
Rapat awal kerja sama dengan konsultan Yayasan Baitul Maal Muamalat untuk Pelatihan, Perizinan, dan Pengembangan Produk Tempe.","Tersedia Surat Penawaran Harga dari Yayasan Baitul Maal Muamalat untuk Pelatihan, Perizinan, dan Pengembangan Produk Tempe.
Pengadaan mesin pengiris tempe dan saranan penunjang lainnya (wajan, spatula, kompor, dan peniris) untuk menunjang produktivitas kelompok."
Feb,2026,PILOT PROJECT KALIUM HUMAT,"Tanggal 19 Februari 2026 telah dilakukannya pengukuran terakhir pada lahan demplot kalium humat
Tanggal 20 & 25 Februari 2026 telah dilakukan meeting persiapan panen perdana di lokasi demplot","Akan dilakukan pengecekan lokasi panen perdana pada tanggal 3 Maret 2026
Akan dilakukaknya Panen Raya Perdana pada tanggal 9 maret 2026 (bersama Dirut PTBA & Bupati Muara Enim)"
Feb,2026,BA-MAXI,"Koordinasi dengan Unit Tarahan Port, Kertapati Port, dan Ombilin Mining Site untuk Rencana Rehabilitasi Mangrove Tahun 2026.
Rapat awal kerja sama dengan konsultan PT PELANNA.ID untuk Pendampingan, Pelatihan Penyemaian, dan Penanaman Mangrove di Sumatera Selatan, Sumatera Barat (Kabupaten Pesisir Selatan), dan Lampung (Kabupaten Lampung Timur).","Tersedia Surat Penawaran Harga dari PT PELANNA.ID untuk Pendampingan, Pelatihan Penyemaian, dan Penanaman Mangrove di Sumatera Selatan, Sumatera Barat (Kabupaten Pesisir Selatan), dan Lampung (Kabupaten Lampung Timur)."
Feb,2026,REVITALISASI TAMAN KEHATI BEDEGUNG,"Adanya rapat lanjutan di Dinas Lingkungan Hidup Kab. Muara Enim yang menyepakati:

Penandatanganan PKS akan diagendakan secara seremoni
Diharapkan 2026 segera direalisasikan implementasi revitalisasi Taman Kehati
Akan menggandeng IPB dalam pengelolaan Taman Kehati. DLH akan menjalin PKS ke IPB
Pengelolaan Taman Kehati di luar ruang lingkup pekerjaan yg dibebankan ke perusahaan akan dikelola DLH bersama IPB
Pemeliharaan tanaman eksisting dan pengendalian gulma akan dilaksanakan secara kontinyu berdasarkan jangka waktu yg disepakati dalam PKS perusahaan-DLH","Follow up agenda seremoni penandatanganan PKS
Penyusunan AHS dan KAK Pekerjaan Revitalisasi Sarana Terkait"
Feb,2026,PENGEMBANGAN DESA SIRAH PULAU,"Diskusi dengan Pembudidaya Ayam Petelur di Lampung untuk pembanding kelayakan biaya dari FP2M.
Dilaksanakan diskusi bersama Kepala Desa Sirah Pulau untuk menyelaraskan rencana program dengan kebutuhan dan prioritas masyarakat. 
Survei lapangan untuk mengidentifikasi kondisi Rumah Tidak Layak Huni sebagai dasar penetapan penerima manfaat.","Audiensi dengan Wakil Bupati Lahat terkait Program PPM
Follow Up PPM Budidaya Ayam Petelur x FP2M dan didampingi konsultan/ NGO Sosial."
Mar,2026,PLTS IRIGASI,Diskusi RAB pekerjaan pembangunan PLTS irigasi Tanjung Lalang,"Pembuatan dokumen HPS (Harga Perkiraan Sendiri) dan KAK (Kerangka Acuan Kerja)
Proses di aplikasi Spend CISEA"
Mar,2026,BUDIDAYA MAGGOT,"Sebanyak 7 Orang Eks. PETI Yang tergabung di Kelompok budidaya maggot Kumata Desa Tanjung Agung;
Tanggal 20 Maret 2026 Produksi Maggot Berupa = Fress Maggot 156 Kg, dan Telur Maggot 87 Gram;
Pemanfaatan sampah Organik pada Maret 2026 ini sebanyak 1.235 Kg yang didapat di Limbah Rumah Tangga, Limbah Rumah Makan/Bakso dan Limbah Pasar Kamis Desa Tanjung Agung
","Penjajakan Kerjasama dengan pengusaha ikan lele di Desa Tanjung Karangan;
 Penguatan sektor hilir maggot : Kasgot(kompos) dan POC (Pupuk Organk Cair)."
Mar,2026,BUDIDAYA IKAN AIR TAWAR,"Sebanyak 9 Orang Eks. PETI dan Karang Taruna yang tergabung di Kelompok Budidaya Ikan Putra Susukan Binaan PT Bukit Asam TBK;
Penjulan Terhadap Ikan yang siap jual dan sudah dipanen saat ini di pasarkan di lingkungan Sekitar Kolam Binaan, Terdiri dari Masyarakat Lingkungan Sekitar, Pasar Tradisional/Kalangan, serta Kerjasama pasar dengan Owner Dutta coffeTanjung Enim;
Adanya pengaplikasian Maggot Sebanyak 34 Kg di kolam Kelompok Budidaya Ikan Putra Susukan;","Dilakukan pegembangan usaha pemancingan di lokasi Kolam Binaan Kelompok Putra Susukan Desa Tanjung Agung (Pembangunan Naungan Rangka Baja Volume 20 M2 )
Optimasi pakan maggot kering "
Mar,2026,SIBA PEMBIBITAN,"Produksi polybag sebanyak 4.936 buah
Terdapat penjualan bunga bougenvile dan pot bunga 
Belum ada pembayaran invoice dari Divisi FMWR sejak bulan Januari 2026
Adanya budidaya Tabulampot (Tanaman Buah Dalam Pot) sebagai diversifikasi produk, akan direncanakan launching di bulan Agustus pada acara Karang Asam Festival
Terdapat kegiatan panen sawi di dalam greenhouse, menghasilkan sayur sawi sebanyak 10 kg
Sharing session terhadap kelompok tani melon lingga","Follow up penagihan invoice dan PKS distribusi bibit ke Divisi FMWR
Perawatan tanaman Tabulampot
Pembuatan pupuk booster Tabulampot"
Mar,2026,BUDIDAYA PUYUH SELEMAN,"Sebanyak 5 Orang Eks. PETI yang tergabung di Kelompok Budidaya Burung Puyuh Bangsal Pematang Binaan PT Bukit Asam TBK;
Saat ini Kelompok Bangsal Pematang telah melakukan penjualan telur puyuh di pasar sekitar terdiri dari pasar Tanjung Enim dengan 2 agen tetap dan Pasar Kalangan Desa Seleman setiap hari Jum’at dan agen Baturaja;
Saat ini burung puyuh yang produktif sebanyak 1.775 Ekor;
Pada tanggal 13 Maret 2026, adanya bantuan kipas dinding 2 unit untuk di kandang kelompok Budidaya Burung Puyuh Bangsal pematang.","Pelatihan manajemen dan tata kelola kelompok.
Sosialisasi Exit Program untuk kelompok."
Mar,2026,BUDIDAYA PUYUH PETELUR DARMO,"Sebanyak 14 Orang Eks. PETI Yang tergabung di Kelompok Peternakan Burung Puyuh Simpang Karso Desa Darmo 
Jumlah indukan puyuh saat ini sebanyak 14.750 Ekor;
Pada bulan maret ini Bibit burung puyuh yang di tetaskan sebanyak 85 Ekor dengan umur 14 Hari;","Adanya rencana penjajakan Kerjasama (PKS) dengan Agen telur Puyuh Belitang OKU Timur;
Diskusi lanjutan terkait akses menuju kelompok PPSKD Desa Darmo (COR Jalan)
Penguatan Energzing Akhlak untuk seluruh binaan Program
Pelatihan pengolahaan tanaman sayuran dan tanaman semangka pemanfaatan KOHE Puyuh;"
Mar,2026,ECOGROW MOM KWT UTUN MAKMUR,"Sebanyak 21 Orang Eks. Pekerja PETI, Ibu RT dan MBR Yang tergabung di Kelompok Wanita Tani Utun Makmur Desa Tanjung Karangan; 
Adanya perkembangan bibit di lahan KWT Berupa  Bibit Terong 465 Batang, bibit cabe, 895 batang dan bibit tomat 261 batang dengan pertumbuhan sangat baik;
Kegiatan gotong royong telah dilaksanakan dibulan ini sebanyak 4X, dimana kegiatan dilakukan setiap hari jumat sore.
Pada bulan Maret 2026 ini adanya kegiatan penjualan hasil tanaman. Total Penjualan bulan Maret Yaitu Rp.2.500.000,-","Rencana Kerjasama dengan pengelolah mini zoo terkait supply pakan ternak di area mini zoo Tanjung Enim;
Pelatihan dasar terkait pembibitan, pengenalan hama tanaman dan cara mengatasinya melibatkan Narasumber Internal dan Eksternal
Bantuan bibit Kangkung untuk mendukung Produktivitas Kelompok."
Mar,2026,POKTAN CAHAYA TANI,"Sebanyak 9 Orang Eks. Pekerja PETI tergabung di Kelompok Pembibitan Cahaya Tani Desa Darmo;
Adanya pengadaan bibit sawit berumur 5 Bulan sebanyak 3000 Batang yang dilakukan oleh kelompok cahaya tani desa darmo sebagai Langkah awal untuk mengisi bedengan (Swadaya);
Adanya penyemaian bibit cabe sebanyak 108 Polibag dan Terong 343 Polibag;
Pada Tanggal 12 Maret 2026, Adanya kegiatan penjulan tanaman terong sebanyak 12 Kg x Rp.10.000,- sehingga total penjualan Rp.120.000,-","Melanjutkan Pekerjaan Pembangunan Toilet Umum.
Mendaftkarkan legalitas berupa Akta Notaris
Akan dilakukan penanaman tanaman labu kuning"
Mar,2026,BUDIDAYA ITIK PETELUR,"Terdapat kematian itik sebamyak 11 ekor (rasio mortalitas 2,2 %), penyebab kematian kondisi lantai yang terlalu basah
Telah didistribusikan bahan pakan mandiri berupa dedak dan kulit roti 2 tahap, masing-masing 50 karung untuk menghasilkan telur omega
Terdapat pekerjaan instalasi tandon air dan distribusi air minum","Perbaikan/rekayasa lingkungan kandang agar untuk menjaga kelembapan
Penguatan kelompok melalui mentoring/coaching untuk menjaga manajemen operasional terjaga dengan baik"
Mar,2026,SUSCOMDEV LINGKAR TAMBANG,"Instalasi sistem hidroponik di 3 greenhouse melon progres 100% (Dutch Bucket, Drip Tape, Sponge)
Kunjungan Pak Direktur Utama, Direktur Operasi & Produksi, TEMS GM, SFCP
Pendampingan daring penyemaian, pindah tanam, pruning, polinasi, dan pemberian dosis nutrisi masa vegetatif kolaborasi dengan Bpk Zailani (Local Hero SIBA Pembibitan Desa Tanjung Karangan) pada 27 Maret 2026
Usia Melon 17 HST (30 Maret 2026, Rata-rata: 5-9 daun, tinggi 15-20 cm)
Daun dimakan hama (serangga sesiap), karena kurang disiplin menutup pintu greenhouseO","Melanjutkan pekerjaan Paving Block, Urugan, Kansteen, Insect Trap, dan Exhaust Fan
Pemasangan Digitalisasi Kebun Melon dari PT Habibi Digital Nusantara (Habibi Farm)
Pendampingan & supervisi dari Tim Habibi Farm untuk 1 Periode Panen (4 Bulan)"
Mar,2026,SUSCOMDEV PRABUMENANG,"Sebanyak 6 Orang Kelompok Yang tergabung di Kelompok Budidaya ikann air paku desa Keban Agung;
Adanya bantuan bibit ikan nila super sebanyak 20.000 Ekor dengan ukuran 4-6 Cm;
Adanya bantuan Pakan Starter terdiri dari : Pakan PF 1000 Sebanyak 13 Karung, Pakan 781-1 Sebanyak 13 Karung & Pakan 781-2 Sebanyak 15 Karung
Adanya bantuan Sarana Pasarana Pendukung Kolam yaitu: Serok Ikan (8 Buah), Tong 160 L (8 Buah), Ember 10 L (8 Buah), Gayung (8 Buah), Baskom (4 Buah), Keranjang (6 Buah), Genset 1 Unit & Listrik 1 Paket
","Monitoring Berkala ( Pertumbuhan bibit, kuaitas air, kualitas tanaman hydroponic dan sebagainya)
Bantuan pakan pembesaran tahap 2"
Mar,2026,BUDIDAYA RAS SYSTEM,"Total Penjualan Tempe 2 Kelompok s.d. bulan Maret 2026 = 65 kg, dengan omzet Rp975.000.
Total Penjualan Olahan Tempe 2 Kelompok s.d. bulan Maret 2026 = 53 kg, dengan omzet Rp6.360.000.
Total omzet s.d. bulan Maret 2026 Rp7.335.000
Rapat awal kerja sama dengan konsultan Yayasan Baitul Maal Muamalat untuk Pelatihan, Perizinan, dan Pengembangan Produk Tempe.","Tersedia Surat Penawaran Harga dari Yayasan Baitul Maal Muamalat untuk Pelatihan, Perizinan, dan Pengembangan Produk Tempe.
Pengadaan mesin pengiris tempe dan saranan penunjang lainnya (wajan, spatula, kompor, dan peniris) untuk menunjang produktivitas kelompok."
Mar,2026,PILOT PROJECT KALIUM HUMAT,Telah dilakukannya panen perdana lahan percobaaan penggunaan pupuk kalium humat pada tanggal 09 Maret 2026,Koordinasi lebih lanjut dengan Tim Mine Development untuk rencana Demplot di lokasi Sawah dekat PLTS Irigasi bantuan PTBA di lokasi lainnya.
Mar,2026,BA-MAXI,"Koordinasi lanjutan dengan Unit Tarahan Port, Kertapati Port, dan Ombilin Mining Site untuk Rencana Rehabilitasi Mangrove Tahun 2026.
Rapat lanjutan kerja sama dengan konsultan PT PELANNA.ID untuk Pendampingan, Pelatihan Penyemaian, dan Penanaman Mangrove di Sumatera Selatan, Sumatera Barat (Kabupaten Pesisir Selatan), dan Lampung (Kabupaten Lampung Timur).","Tersedia Surat Penawaran Harga dari PT PELANNA.ID untuk Pendampingan, Pelatihan Penyemaian, dan Penanaman Mangrove di Sumatera Selatan, Sumatera Barat (Kabupaten Pesisir Selatan), dan Lampung (Kabupaten Lampung Timur)."
